crispr_guides2,pdam,exdam,idam,img,irm,hm,crispr_guides2
KO1,0.2208392659434053,-0.13387801671680433,-0.26137290038488037,-0.17138806792294847,0.09570015035676284,-0.023332792682126624,KO1
KO10,-0.17222256515645382,-0.16826121676972408,-0.13550028596154726,-0.1448824174607293,0.34340094862127746,0.11595398256818999,KO10
KO11,-0.03836686405772479,-0.050986034418777366,-0.2474772027360814,-0.13838243458169205,-0.13476766681080066,0.21455461781313556,KO11
KO12,0.23608690971308113,0.029743100388004273,0.12824580525085097,-0.22206609915584052,-0.009645071974407986,-0.20403581544954177,KO12
KO13,0.23605462490021673,0.08473139053520352,-0.1969360921525578,-0.06660950098893428,-0.0069327980929862094,-0.04800592753168192,KO13
KO14,-0.007976509507502118,-0.18718092628610553,0.10634441076375276,-0.07793163395949718,-0.02530623962413057,0.3146472776423731,KO14
KO15,0.07586764705637176,-0.2810002679521281,-0.10203160996834348,-0.16001703397394368,0.11423496095296483,0.15767783256903747,KO15
KO16,-0.17289648734555327,-0.10386599100016901,-0.05357639019750074,0.09555477988267765,-0.048010564427547746,0.38205487854427256,KO16
KO17,-0.013180320869708492,-0.31147975536990574,-0.48206309412667053,-0.2073169328290531,-0.1285766668892066,0.15906846252311396,KO17
KO18,0.09965688275798788,-0.06237637030378267,-0.026597507046481072,0.05784368523895521,-0.05895345300653611,0.18738536673776257,KO18
KO19,0.07043148701936265,-0.09756571189549104,-0.22342552891391645,-0.03484488237362821,-0.01757047668321202,0.18156009402322149,KO19
KO2,-0.07593393659519582,-0.052031028768812396,0.1116704395868405,0.2434965854630255,-0.010845497044494225,0.04114398774564619,KO2
KO20,0.004114957766929948,-0.247252813080802,-0.19022612316558535,-0.0004922535371958412,0.030767001413972407,0.18334987986042584,KO20
KO21,0.014933849480911211,-0.000390161718955164,-0.10214762117657034,-0.15152304095046537,-0.17127726512102645,-0.0649869247180098,KO21
KO22,-0.12124223305233721,0.028056974356275948,-0.21686017206114527,-0.24248598976490351,0.1694195905262911,-0.1298475824281058,KO22
KO23,-0.2218719549283336,-0.18308893914046387,0.14717490970279135,0.10152258117395407,-0.03852059371457147,-0.09177504788744384,KO23
KO24,0.09526451498738937,0.11561162745135638,-0.18521722502536073,0.052617544089558196,-0.0010997868721659594,0.10769921869595167,KO24
KO25,-0.039162754244668495,0.204253657094333,-0.1369945167575543,-0.1012472300311084,-0.16041935061547508,-0.10486939890448313,KO25
KO26,0.018336099203704465,-0.1462007031619451,-0.20649445016886472,-0.14066247561814957,0.08450293004006293,0.29780135535463176,KO26
KO27,0.05984149773648931,-0.01411409218408113,-0.09876545166958813,-0.05794498716920134,2.1735779179090933e-05,0.015794255442868766,KO27
KO28,-0.059687454064164945,-0.03205876422396718,-0.009122334104574808,-0.14370822211432174,-0.0946603493175999,-0.028529237767660448,KO28
KO29,0.14177281376213854,0.009611498297369486,-0.23177619484509918,-0.09310123960086875,-0.03123911927236683,0.14781849200956926,KO29
KO3,-0.08654146630809069,-0.23496550438275204,-0.06296731587904121,0.07936225171757566,-0.17578203671670806,0.1609918945077857,KO3
KO30,0.1707443939517414,-0.04454685102554483,-0.2015151032612391,0.06410555105769375,-0.043614809933993054,-0.02586161010464085,KO30
KO31,-0.16629392183885544,0.09798166411966702,-0.03494018795792138,0.015456779239640554,0.06597997760633591,0.16710358312902857,KO31
KO32,-0.10654101012815828,0.006003082204222099,-0.15248759181586338,-0.15395735324996884,-0.08166206360555163,0.21440659037002857,KO32
KO33,0.06073056167149008,0.046300936114178196,-0.12577009712321044,0.24216542594774038,-0.04352565375307975,0.04715588319247648,KO33
KO34,-0.03131888447760864,-0.14254973786598965,-0.24586499082378252,-0.02037192484408462,-0.18070908130119906,0.057226862380893966,KO34
KO35,0.01803136725953896,0.028288706404344624,-0.020000441025019543,-0.0684821283116321,0.17934249247593975,-0.12740610155986287,KO35
KO36,-0.050069933729172046,0.0984213106354731,0.11830823306110025,0.11341709178448939,-0.002904978527018263,0.16877586394690788,KO36
KO37,0.11831577582805416,0.04844444370818344,0.0931589538830634,-0.047083716806561614,0.17505547347264658,0.11325922275321056,KO37
KO38,-0.1773996835848029,-0.10121453933899743,-0.26124890112723725,-0.055219289431639305,-0.011151656853070145,0.20892096915340752,KO38
KO39,-0.06600961137406013,-0.05915160455845134,-0.10200612287368414,-0.045546621732873105,-0.13705116573671702,-0.04824999785862601,KO39
KO4,0.02102154143562499,0.18589557691655434,0.0065748500608175,-0.12162909308761094,0.02546433473186856,0.1316137750511655,KO4
KO40,0.06684965383110578,-0.0372723678287413,-0.10542121941388888,-0.10469530374155521,-0.04959640650010693,0.11334841797817001,KO40
KO5,0.10674943982150631,-0.13400040356941847,0.06386542784158818,-0.05185458714161408,-0.04369190153285128,-0.010340121254199865,KO5
KO6,0.1572858574475303,-0.016082427132719426,-0.2119036925208429,0.038806673236688634,-0.09809753589482803,0.14514515555752594,KO6
KO7,-0.032616710280829506,0.24767974570880583,-0.19689742677962296,-0.05215545255301606,-0.07534533408968078,0.004873483479667996,KO7
KO8,-0.16068605421589485,-0.09906918616115185,-0.10223441346557753,0.172372996553252,-0.07210570993936598,-0.03381702629636736,KO8
KO9,-0.08202666380113839,-0.08758646897519172,-0.24156064350633993,0.08984876536551069,-0.010735174194940453,-0.0005575086817873423,KO9
